artist,country
Jil Is Lucky,France
Jimmy Eat World,United States
John Coltrane,United States
José González,Sweden
Joy Division,United Kingdom
Joyside,China
Jughead's Revenge,United States
Kerretta,New Zealand
Keziah Jones,Nigeria
Kid Dynamite (3),United States
Korn,United States
La-33,Colombia
Ladi 6,New Zealand
Ladyhawke,New Zealand
Lali Puna,Germany
Leatherface,United Kingdom
Les Wampas,France
Liquideep,South Africa
Lisabö,Spain
Lit,United States
Live,United States
Lonely Kings,United States
Louise Attaque,France
Lykke Li,Sweden
Mad Season,United States
Malfunkshun,United States
Mano Negra,France
Manu Katché,France
Massive Attack,United Kingdom
Matchbook Romance,United States
Matchbox Twenty,United States
Mazzy Star,United States
Mercury Rev,United States
Metallica,United States
Michel Petrucciani,France
Mickey 3D,France
Midnight Youth,New Zealand
Millencolin,Sweden
Miossec,France
Moby,United States
Mogwai,United Kingdom
Morcheeba,United Kingdom
Mother Love Bone,United States
Moving Mountains,United States
Muse,United Kingdom
My Bloody Valentine,Ireland
My Chemical Romance,United States
Nada Surf,United States
Nils Petter Molvær,Norway
Nirvana,United States
No Age,United States
Noir Désir,France
Nomeansno,Canada
None More Black,United States
Nouvelle Vague,France
Novalima,Peru
Nusrat Fateh Ali Khan & Party,Pakistan
O Pioneers!!!,United States
Of Montreal,United States
Off With Their Heads,United States
Oleander,United States
Olivia Ruiz,France
Omar Sosa,Cuba
Onelinedrawing,United States
Opensouls,New Zealand
Operation Ivy,United States
Opshop,New Zealand
Orchestre National De Barbès,France
Our Lady Peace,Canada
Ozma,United States
Paint It Black,United States
Paris Combo,France
Pearl Jam,United States
Pedro The Lion,United States
Phoenix,France
Pink Martini,United States
Pixies,United States
Placebo,United Kingdom
Planes Mistaken For Stars,United States
Poison The Well,United States
Portishead,United Kingdom
Prime Circle,South Africa
Programme,France
Pulp,United Kingdom
Puressence,United Kingdom
Queen,United Kingdom
Quicksand (3),United States
Quidam (3),Poland
R.E.M.,United States
Radiohead,United Kingdom
Rage Against The Machine,United States
Rancid,United States
Raphaël (2),France
Ravi Shankar,India
Reach The Sky,United States
Red Hot Chili Peppers,United States
Refused,Sweden
Renaud,France
Ride,United Kingdom
Rise Against,United States
Rival Schools,United States
Rodrigo Y Gabriela,Mexico
Rufus Wainwright,Canada
SALEM (6),United States
Saez,France
Saint Etienne,United Kingdom
Salmonella Dub,New Zealand
Samiam,United States
School Of Seven Bells,United States
Screaming Trees,United States
Sebadoh,United States
Semisonic,United States
Sense Field,United States
Senses Fail,Canada
Seven Mary Three,United States
Shai Hulud,United States
Shapeshifter (6),New Zealand
She's So Rad,New Zealand
Shelter,United States
Shocking Pinks,New Zealand
Sick Of It All,United States
Silmarils,France
Silverstein,Canada
Simple Minds,United Kingdom
Six60,New Zealand
Skank (2),Brazil
Small Brown Bike,United States
Snow Patrol,United Kingdom
So So Modern,New Zealand
Something For Kate,Australia
Sonic Youth,United States
Soul Asylum (2),United States
Soundgarden,United States
Sparta,United States
Spineshank,United States
Spoil Engine,Belgium
St Germain,France
Staind,United States
Stereophonics,United Kingdom
Stone Temple Pilots,United States
Story Of The Year,United States
Strike Anywhere,United States
Sublime (2),United States
Summercamp,United States
Sunny Day Real Estate,United States
Supergrass,United Kingdom
Sweet 75,United States
Symposium,United Kingdom
Taking Back Sunday,United States
Temple Of The Dog,United States
The Airborne Toxic Event,United States
The Apers,Netherlands
The Bad Plus,United States
The Beach Boys,United States
The Beautiful Mistake,United States
The Big Pink,United Kingdom
The Black Seeds,New Zealand
The Bravery,United States
The Casket Lottery,United States
The Checks,New Zealand
The Clash,United Kingdom
The Cure,United Kingdom
The Datsuns,New Zealand
The Dismemberment Plan,United States
The Draft (2),United States
The Drums (2),United States
The Evens,United States
The Feelers,New Zealand
The Field Mice,United Kingdom
The Gossip,United States
The Horrors,United Kingdom
The Jesus And Mary Chain,United Kingdom
The Kills,United States
The Libertines,United Kingdom
The Loved Ones (3),United States
The Manhattan Love Suicides,United Kingdom
The Mars Volta,United States
The Mary Onettes,Sweden
The Mayfield Four,United States
The Pains Of Being Pure At Heart,United States
The Police,United Kingdom
The Presidents Of The United States Of America,United States
The Promise Ring,United States
The Rapture,United States
The Raveonettes,Denmark
The Saddest Landscape,United States
The Seahorses,United Kingdom
The Shins,United States
The Sleeping,United States
The Smashing Pumpkins,United States
The Smiths,United Kingdom
The Strokes,United States
The Tea Party,Canada
The Used,United States
The Vaccines,United Kingdom
The Veils,New Zealand
The Velvet Underground,United States
The Verve,United Kingdom
The Wannadies,Sweden
The White Stripes,United States
The Who,United Kingdom
Third Eye Blind,United States
This Day Forward,United States
Thomas Fersen,France
Thought Riot,United States
Thrice,United States
Thursday,United States
Tiki Taane,New Zealand
Times Of Grace,United States
Tool (2),United States
Tracy Chapman,United States
Tsar (2),United States
Turin Brakes,United Kingdom
Two Door Cinema Club,United Kingdom
Téléphone,France
U2,Ireland
Unbelievable Truth,United Kingdom
Unwound,United States
Vampire Weekend,United States
Veil Veil Vanish,United States
WU LYF,United Kingdom
Weezer,United States
Westbound Train,United States
White Lies (2),United Kingdom
White Noise Sound,United Kingdom
Wide Mouth Mason,Canada
Will Haven,United States
Wolfmother,Australia
Yann Tiersen,France
Yaron Herman Trio,France
Young Livers,United States
Yuck,United Kingdom
达达,China
